Nom,Prenom,Code_bateau,valeur,n_courses,Age,Embarcation,Club
HONORE,Anae,C1D463229,368.75,4,U18,C1D,5302 - CK LAVAL
GOIN MONSINJON,JULIETTE,C1D463650,214.0,1,U15,C1D,3310 - E.N.B.C.K. BORDEAUX
BOUDEY,Nina,C1D465032,358.25,4,U15,C1D,3318 - BOMMES NAUTIQUE CK
DUPRAT,Maud,C1D465036,158.75,4,U15,C1D,3318 - BOMMES NAUTIQUE CK
NOEL,Eleanore,C1D472459,485.0,1,U15,C1D,4713 - CK CLUB VALLEE DU DROPT
COLLET,Juline,C1D473435,908.0,1,U15,C1D,3703 - VAL DE L'INDRE CK
THUILLIER,ALBANE,C1D474147,472.0,3,,C1D,6204 - BOULOGNE CK
REMY,Alycia,C1D475655,457.0,2,U15,C1D,8802 - AS GERARDMER CK
GANDAIS,Lucie,C1D476865,839.0,2,U18,C1D,6102 - PL ARGENTAN CANOE KAYAK
GAYTE,Angele,C1D479526,659.0,1,U18,C1D,4161 - BLOIS AGGLOPOLYS CK
GRIGNON,Gaetane,C1D479740,1104.0,1,U18,C1D,4565 - APPMVL CK LOIRE CHAPELLOISE
MONTOIR,Constance,C1D480141,610.5,4,U15,C1D,4566 - PAGAIE ORLEANS METROPOLE
LOCHON,Lucie,C1D480329,703.0,1,U15,C1D,8604 - CK VIVONNE LES PAGAYOUS
VRIGNAUD,Ana,C1D481423,407.0,1,U18,C1D,1608 - CK JARNAC SPORTS
BONNEAU,Elisa,C1D500701,2213.0,1,U18,C1D,1808 - BOURGES CK CLUB
GARNIER,Alice,C1D500965,759.0,1,U15,C1D,4566 - PAGAIE ORLEANS METROPOLE
GARNIER,ANAELLE,C1D504054,349.5,4,,C1D,2711 - VAL DE REUIL PAGAIE PASSION
LE PICARD-GOSS,MAYA,C1D508365,186.25,4,U18,C1D,1962 - ARGENTAT DORDOGNE CANOE-KAYAK
CHAMPAGNE,SYLVAIN,C1H000286,164.0,1,M2,C1H,3310 - E.N.B.C.K. BORDEAUX
CHASSIGNEUX,PIERRE,C1H000334,236.5,4,M3,C1H,8501 - CK FONTENAY LE COMTE
PIERRE,MATTHIEU,C1H000390,139.25,4,M2,C1H,2206 - LA ROCHE DERRIEN CK
VALETTE,SEBASTIEN,C1H000442,134.25,4,M2,C1H,2412 - CASTELNAUD EN PERIGORD KC
CERNEY,BERNARD,C1H000869,301.75,4,M3,C1H,8003 - PICQUIGNY VIEILLE SOMME
SANTAMARIA,STEPHANE,C1H001109,9.0,4,M22,C1H,2410 - GALO PORT SAINTE FOY
BAZIN,Sylvain,C1H002347,148.25,4,M2,C1H,8602 - CK CLUB POITEVIN
LEVERT,THOMAS,C1H002634,292.67,3,M2,C1H,8404 - CLUB CK L'ISLOIS
SOVEAUX,DAVID,C1H002829,123.75,4,M2,C1H,0204 - A.S.C.R. RIBEMONT
SALLE,Denis,C1H008206,281.25,4,M3,C1H,3704 - C.O.C.C.K. CHINON
POULARD,Teddy,C1H013586,351.0,2,M2,C1H,2712 - CK VAL DE RISLE
MULLER,JEROME,C1H013764,160.0,1,M2,C1H,2415 - A.L. MARSAC SUR L'ISLE
NOGUES,TONY,C1H017586,76.25,4,M2,C1H,1604 - COGNAC CK
EUDE,REGIS,C1H019161,128.75,4,M2,C1H,6102 - PL ARGENTAN CANOE KAYAK
LEBLOND,Cyril,C1H026232,137.25,4,M1,C1H,1911 - HAUTE CORREZE KAYAK CLUB
BRODIEZ,MARC,C1H028201,82.75,4,M1,C1H,8501 - CK FONTENAY LE COMTE
GAUD,GILLES,C1H028823,204.25,4,M2,C1H,9404 - JOINVILLE EAU VIVE
DONIAS,Lionel,C1H028951,216.75,4,M1,C1H,5613 - PATRONAGE LAIQUE LORIENT
REMY,PHILIPPE,C1H030271,166.5,4,M3,C1H,9404 - JOINVILLE EAU VIVE
TROCME,JEROME,C1H031202,179.0,1,M2,C1H,0204 - A.S.C.R. RIBEMONT
MAUGER,ALEXANDRE,C1H031630,243.75,4,M2,C1H,2708 - CLUB SPORTIF BEAUMONTAIS CK
LANCHAIS,EMMANUEL,C1H035368,108.5,4,M2,C1H,1604 - COGNAC CK
MARY,FREDERIC,C1H039037,138.25,4,M1,C1H,2415 - A.L. MARSAC SUR L'ISLE
OLIVIER,Clement,C1H040600,79.75,4,M1,C1H,2209 - CANOE CLUB DU LIE
BOOB,FREDERIC,C1H040740,135.75,4,M3,C1H,1620 - TARDOIRE CK
DUCHET,GWENDAL,C1H041339,47.25,4,M2,C1H,8802 - AS GERARDMER CK
LACIRE,JEROME,C1H045461,106.75,4,M2,C1H,5109 - SILLERY CHAMPAGNE C.K.
MARCHESSEAU,YOHANN,C1H049588,107.75,4,M2,C1H,2410 - GALO PORT SAINTE FOY
YVET,JEROME,C1H051124,990.0,2,M2,C1H,5630 - CK AMICALE LAIQUE DE CLEGUER
NARDEAU,JACQUES,C1H052092,414.0,2,M3,C1H,9407 - RED STAR CLUB CHAMPIGNY
BATTESTI,JEANFRANCIS,C1H052354,330.0,4,M3,C1H,8501 - CK FONTENAY LE COMTE
DEROUINEAU,Thierry,C1H061095,103.5,4,M2,C1H,8602 - CK CLUB POITEVIN
DENIS,HERVE,C1H062447,235.0,2,M2,C1H,4566 - PAGAIE ORLEANS METROPOLE
BRODIEZ,Pascal,C1H062599,153.0,4,M3,C1H,8501 - CK FONTENAY LE COMTE
BRUNET,SYLVAIN,C1H062804,84.5,4,M3,C1H,1604 - COGNAC CK
AUVOLAT,CHRISTIAN,C1H062936,170.0,2,M3,C1H,8501 - CK FONTENAY LE COMTE
PAOLETTI,Philippe,C1H063034,151.75,4,M3,C1H,9404 - JOINVILLE EAU VIVE
COMBETTE,ALAIN,C1H063562,388.0,2,M3,C1H,2412 - CASTELNAUD EN PERIGORD KC
MAURICE,GREGORY,C1H065389,70.75,4,M1,C1H,2412 - CASTELNAUD EN PERIGORD KC
MOREAU,JEAN-MICHEL,C1H069648,293.0,3,M3,C1H,2711 - VAL DE REUIL PAGAIE PASSION
KLATT,Raymond,C1H084210,272.0,3,M3,C1H,8402 - JEUNE CK AVIGNONNAIS
LUSSIER,DENIS,C1H085950,192.75,4,M1,C1H,5807 - UNION SPORTIVE CHARITOISE
MAURY,SEBASTIEN,C1H096576,585.0,1,M2,C1H,2403 - UNION SPORTIVE NEUVICOISE DE CK
HOLLEVILLE,Hans,C1H100096,120.33,3,M2,C1H,9404 - JOINVILLE EAU VIVE
VANNESTE,MATTHIEU,C1H101138,212.0,1,M1,C1H,2711 - VAL DE REUIL PAGAIE PASSION
DAZEUR,Quentin,C1H113212,7.0,4,M22,C1H,6701 - STRASBOURG EAUX VIVES
CAIN,OLIVIER,C1H124234,177.75,4,M1,C1H,4713 - CK CLUB VALLEE DU DROPT
PEDUZZI,THIBAUD,C1H127634,1059.5,4,M1,C1H,9404 - JOINVILLE EAU VIVE
MAILLARD,PIERRE,C1H131574,221.0,2,M1,C1H,8002 - CLUB NAUTIQUE DE RIVERY
LAPOINTE,LOUIS,C1H139314,13.75,4,M22,C1H,8802 - AS GERARDMER CK
PISCHEK,JAN,C1H145061,69.25,4,M2,C1H,8802 - AS GERARDMER CK
BERLAND,VALENTIN,C1H150128,129.5,4,M1,C1H,1911 - HAUTE CORREZE KAYAK CLUB
MOREAUX,QUENTIN,C1H154678,30.25,4,M1,C1H,0211 - C.K. PLEIN AIR DE CHAUNY
PAAUW,PIETER,C1H155730,148.33,3,M22,C1H,1962 - ARGENTAT DORDOGNE CANOE-KAYAK
DELHOUME,CHRISTIAN,C1H159676,206.75,4,M3,C1H,3704 - C.O.C.C.K. CHINON
PAPIN,CEDRIC,C1H171941,72.5,4,M22,C1H,7209 - CK CLUB FERTOIS
TROUBADY,PIERRE,C1H171952,18.0,4,M22,C1H,2417 - ALP GNP PERIGUEUX
DESEUSTE,Pierre,C1H171961,29.75,4,M22,C1H,3501 - KAYAK CLUB PONT REAN
RUIZ,ANTHONY,C1H181271,33.75,4,M22,C1H,2417 - ALP GNP PERIGUEUX
SALIBA,JULIEN,C1H181499,44.0,4,M22,C1H,7705 - TORCY CK
DUBOIS,CLEMENT,C1H182590,57.33,3,M22,C1H,7206 - U.S.F. CK LA FLECHE
TALLET PINET,PAUL,C1H186088,204.67,3,M22,C1H,4566 - PAGAIE ORLEANS METROPOLE
CRETTE,FLORIAN,C1H191965,61.0,4,M22,C1H,0211 - C.K. PLEIN AIR DE CHAUNY
VIENS,Theo,C1H194386,0.0,4,M22,C1H,8404 - CLUB CK L'ISLOIS
HELLEC,YOHANN,C1H201734,493.5,2,M22,C1H,5613 - PATRONAGE LAIQUE LORIENT
POIRIER,FRANCOIS,C1H213859,139.0,4,M22,C1H,4409 - GETIGNE CK
KLATT,ETIENNE,C1H214315,1.25,4,M22,C1H,8402 - JEUNE CK AVIGNONNAIS
FERRION,CHARLES,C1H215482,0.0,4,M22,C1H,6102 - PL ARGENTAN CANOE KAYAK
DUBOIS,Aurelien,C1H216281,229.0,1,M22,C1H,3704 - C.O.C.C.K. CHINON
DUBOIS,PHILIPPE,C1H216282,261.25,4,M3,C1H,3704 - C.O.C.C.K. CHINON
PASSERNIG,LOUIS,C1H222267,11.75,4,M22,C1H,6803 - C.K. APACH COLMAR
SAUTEUR,NICOLAS,C1H222871,0.0,4,M22,C1H,2415 - A.L. MARSAC SUR L'ISLE
REBOUL,Augustin,C1H223126,104.0,1,M22,C1H,9404 - JOINVILLE EAU VIVE
MOREL,GUILLAUME,C1H227974,277.0,1,M22,C1H,1604 - COGNAC CK
HELLE,MAXIME,C1H237121,64.75,4,M22,C1H,6701 - STRASBOURG EAUX VIVES
PERREAU,MATHIS,C1H238393,0.0,4,M22,C1H,7705 - TORCY CK
DENIS,FABIEN,C1H239268,410.0,1,M22,C1H,8604 - CK VIVONNE LES PAGAYOUS
WICHE,ETIENNE,C1H239803,105.0,1,M22,C1H,0108 - CKC VALLEE DE L'AIN
COMBE,CORENTIN,C1H239805,78.5,4,M22,C1H,1911 - HAUTE CORREZE KAYAK CLUB
CHEVALLIER,JEAN,C1H243079,20.75,4,M22,C1H,9404 - JOINVILLE EAU VIVE
MAILLOT,GUILLAUME,C1H246756,256.0,1,M22,C1H,5102 - C.K. DORMANS EAUX LIBRES
SCAVAZZA,AURELIEN,C1H247513,184.5,2,M22,C1H,8003 - PICQUIGNY VIEILLE SOMME
QUENAULT,RAPHAEL,C1H251550,49.0,4,M22,C1H,6803 - C.K. APACH COLMAR
FLORES,PAUL,C1H251939,468.33,3,M22,C1H,2410 - GALO PORT SAINTE FOY
ROUSSIN,MANOEL,C1H252875,35.25,4,M22,C1H,2403 - UNION SPORTIVE NEUVICOISE DE CK
ROUSSIN,TANGUY,C1H252876,19.75,4,M22,C1H,2403 - UNION SPORTIVE NEUVICOISE DE CK
PISCHEK,JAN GABIN,C1H258449,46.5,4,U21,C1H,8802 - AS GERARDMER CK
GESLIN,CHRISTOPHER,C1H267780,379.75,4,M22,C1H,7203 - CK CLUB DU MANS
JEANDEMANGE,Donovan,C1H280232,407.5,2,U21,C1H,3309 - CK SPORT LIBOURNE
DELORME,MATHIS,C1H280988,91.25,4,M22,C1H,2417 - ALP GNP PERIGUEUX
BEAUMOIS,LOUIS,C1H281545,183.0,2,M22,C1H,3503 - KAYAK CLUB DE RENNES
DELEPLANCQUE,LUCAS,C1H283160,122.0,4,M22,C1H,8606 - VALLEE VONNE CK
DUVERGER,ALEXANDRE,C1H283300,147.5,2,U21,C1H,6102 - PL ARGENTAN CANOE KAYAK
MASSONNET,ANTOINE,C1H284083,99.0,4,M22,C1H,9404 - JOINVILLE EAU VIVE
GAUD,Thomas,C1H284332,135.0,2,U21,C1H,9404 - JOINVILLE EAU VIVE
VATTAN,NICOLAS,C1H288498,791.33,3,M1,C1H,0163 - BUGEY RHONE CK
HRAIBA,Adam,C1H291292,167.5,2,U21,C1H,6701 - STRASBOURG EAUX VIVES
PASSAS,Cedric,C1H294700,83.25,4,U18,C1H,0703 - CK TAIN TOURNON
ROUSSEAU,Gaetan,C1H296766,8.25,4,U21,C1H,7903 - CK NIORTAIS
AUVOLAT,Gabriel,C1H297526,36.5,4,U18,C1H,8501 - CK FONTENAY LE COMTE
PISKULA,LEANDRE,C1H297850,58.25,4,M22,C1H,8010 - CK CLUB DE HAM
TASSOTTI,JULIEN,C1H298421,67.5,2,U21,C1H,5102 - C.K. DORMANS EAUX LIBRES
BIENASSIS,Robin,C1H298443,47.0,4,U18,C1H,8604 - CK VIVONNE LES PAGAYOUS
COPPENS,DUNCAN,C1H298543,117.0,2,U21,C1H,3507 - CK DU PAYS DE BROCELIANDE
PASCAL,NICOLAS,C1H299170,232.0,2,M22,C1H,4922 - CK DES PONTS DE CE
MONNET,David,C1H302122,207.0,4,M2,C1H,0116 - TOURING CK MONTMERLE 3 RIVIERES
OUDIN,Antonin,C1H303429,155.75,4,U18,C1H,0809 - RETHEL CHATEAU CK
PAGES,Louis,C1H309114,122.0,1,U21,C1H,3704 - C.O.C.C.K. CHINON
ZANNI,Matteo,C1H309196,11.5,4,M22,C1H,2415 - A.L. MARSAC SUR L'ISLE
GUIGNARD,Robin,C1H309940,84.67,3,U18,C1H,4405 - CK CLISSON
GUILLEM,BAPTISTE,C1H309993,184.0,1,M22,C1H,3311 - CK CLUB LE TEICH
COURAGE,Ilann,C1H310139,87.0,4,U21,C1H,2214 - C.K.C PLANCOET
FLOUVAT,TOM,C1H310343,91.0,4,U21,C1H,6102 - PL ARGENTAN CANOE KAYAK
DELCROIX-PASLIER,Dorian,C1H312684,127.5,2,U18,C1H,5109 - SILLERY CHAMPAGNE C.K.
CRAPART,Noe,C1H314426,89.33,3,U21,C1H,5102 - C.K. DORMANS EAUX LIBRES
ROBELIN,Ewen,C1H314909,252.0,2,U18,C1H,1611 - CK AUBETERRE
DIDIER,THEO,C1H319081,95.75,4,U21,C1H,8802 - AS GERARDMER CK
CANEVET,Yann,C1H321873,37.0,4,U18,C1H,6701 - STRASBOURG EAUX VIVES
LE FELLIC,ROBIN,C1H322302,208.0,1,U21,C1H,1816 - CHATEAUNEUF PAGAIE AVENTURE
DAVERTON,Mathis,C1H322769,304.25,4,U18,C1H,2415 - A.L. MARSAC SUR L'ISLE
GABEZ,Jérémy,C1H322818,108.75,4,U18,C1H,5806 - U.C.S. CK COSNE SUR LOIRE CLUB MARCEL RENAUD
ROULAND,Martin,C1H323484,418.0,2,U18,C1H,4421 - NANTES ATLANTIQUE CK
ROULAND,Baptiste,C1H323485,211.33,3,U21,C1H,4421 - NANTES ATLANTIQUE CK
MAYAUD INGHAM,Hugo,C1H324251,121.75,4,U18,C1H,2708 - CLUB SPORTIF BEAUMONTAIS CK
GOLIARD,Youri,C1H324492,221.0,3,U18,C1H,8404 - CLUB CK L'ISLOIS
DELEPLANCQUE,PAUL,C1H325556,34.5,4,U18,C1H,8606 - VALLEE VONNE CK
TAPISSIER,Robin,C1H326094,239.0,2,U18,C1H,7206 - U.S.F. CK LA FLECHE
PICHARD,Emile,C1H326973,48.25,4,U18,C1H,7209 - CK CLUB FERTOIS
DINALLY,ILYAN,C1H328126,54.0,4,U18,C1H,7705 - TORCY CK
AUDY,PIERRICK THIBAUT,C1H328186,539.0,1,M22,C1H,3309 - CK SPORT LIBOURNE
CAPITAINE,BENOIT,C1H329034,225.0,4,U18,C1H,5102 - C.K. DORMANS EAUX LIBRES
BACLE LACOMBE,Paul,C1H337613,152.5,4,U18,C1H,8606 - VALLEE VONNE CK
NAUDON-DAMIEN,SYLVAIN,C1H339340,306.0,1,M22,C1H,7902 - SAINT MAIXENT CK
MARIE,Timothy,C1H342076,135.0,4,U18,C1H,2415 - A.L. MARSAC SUR L'ISLE
LEMOINE,Clement,C1H346870,215.5,2,U21,C1H,0211 - C.K. PLEIN AIR DE CHAUNY
NIKIEMA-SCHWARZ,Noa,C1H346880,29.25,4,U18,C1H,9202 - BAC CK SEVRES ISSY
BACHOFFER,Jules,C1H348521,85.5,4,U18,C1H,9202 - BAC CK SEVRES ISSY
MANAC'H-GOASAMPIS,Yoann,C1H350212,82.25,4,U18,C1H,2206 - LA ROCHE DERRIEN CK
BONVALET,ENZO,C1H351876,447.5,4,U15,C1H,2708 - CLUB SPORTIF BEAUMONTAIS CK
GIBOULEAU,CAMILLE,C1H352470,132.25,4,U21,C1H,8501 - CK FONTENAY LE COMTE
JACQUIER,Lucas,C1H352506,108.0,4,U18,C1H,8604 - CK VIVONNE LES PAGAYOUS
DIDIER,Evan,C1H353298,463.0,4,U15,C1H,8802 - AS GERARDMER CK
DEMILLY,MAXENCE,C1H354662,108.0,1,U21,C1H,0211 - C.K. PLEIN AIR DE CHAUNY
CANEVET,ANAEL,C1H362791,124.0,4,U18,C1H,6803 - C.K. APACH COLMAR
COURTAUX,Enzo,C1H365184,152.25,4,U18,C1H,6701 - STRASBOURG EAUX VIVES
PATRICIO-LEIDEKKER,Gabriel,C1H367649,378.33,3,U15,C1H,6701 - STRASBOURG EAUX VIVES
DELORME,MATTEO,C1H369516,179.5,4,U18,C1H,7203 - CK CLUB DU MANS
DURY,Arthur,C1H370108,290.5,4,U18,C1H,8404 - CLUB CK L'ISLOIS
LAVOCAT,Jeremy,C1H370807,533.0,3,U15,C1H,6705 - BRUCHE SPORT PASSION MOLSHEIM
FRONSACQ,Ruben,C1H373130,339.0,4,U18,C1H,3318 - BOMMES NAUTIQUE CK
PERINO,Angelo,C1H373587,187.0,2,U15,C1H,3501 - KAYAK CLUB PONT REAN
BONNEVILLE ROGELET,ENZO,C1H373987,449.5,4,U18,C1H,6102 - PL ARGENTAN CANOE KAYAK
RUAULT,Enzo,C1H376345,332.75,4,U15,C1H,3501 - KAYAK CLUB PONT REAN
MERLET,Luan,C1H376585,389.0,1,U15,C1H,4566 - PAGAIE ORLEANS METROPOLE
RENAUD,Mathieu,C1H377275,256.0,4,U18,C1H,8604 - CK VIVONNE LES PAGAYOUS
BALLOT,Alix,C1H378441,112.75,4,U18,C1H,3318 - BOMMES NAUTIQUE CK
SENEPART,CEDRIC,C1H378475,197.0,4,M2,C1H,8010 - CK CLUB DE HAM
LASKOSKE DAUPHIN,Tom,C1H378479,88.0,4,U18,C1H,1911 - HAUTE CORREZE KAYAK CLUB
NGUYEN VAN,Xabi,C1H380035,91.5,4,U18,C1H,2412 - CASTELNAUD EN PERIGORD KC
LEBRAN,Gaspard,C1H380183,440.67,3,U18,C1H,2412 - CASTELNAUD EN PERIGORD KC
PEREZ,Sacha,C1H380342,141.25,4,U15,C1H,3318 - BOMMES NAUTIQUE CK
TAVERNIER,TOM,C1H381266,466.0,3,U18,C1H,2412 - CASTELNAUD EN PERIGORD KC
DEGOT,ROMAIN,C1H381337,119.0,4,U18,C1H,3311 - CK CLUB LE TEICH
DUBOIS,Mathieu,C1H387409,172.5,4,U18,C1H,2206 - LA ROCHE DERRIEN CK
GOLAY,Auguste,C1H401180,145.25,4,U18,C1H,6803 - C.K. APACH COLMAR
SALOMON-AVENDANO,ANTONIN,C1H405186,478.5,2,U15,C1H,2708 - CLUB SPORTIF BEAUMONTAIS CK
BEZILLES,Elouan,C1H415110,101.75,4,U18,C1H,6803 - C.K. APACH COLMAR
CAUHAPE,ANTON,C1H416691,240.75,4,U18,C1H,3318 - BOMMES NAUTIQUE CK
WAESELYNCK,Matheo,C1H416695,139.75,4,U18,C1H,3318 - BOMMES NAUTIQUE CK
MOLENE,Noe,C1H417859,213.75,4,U15,C1H,2412 - CASTELNAUD EN PERIGORD KC
BOUTIER,Axel,C1H418350,307.75,4,U18,C1H,5630 - CK AMICALE LAIQUE DE CLEGUER
CHERBONNIER FORTUNE,Eliott,C1H421025,277.25,4,U18,C1H,1712 - CLUB NAUTIQUE ROCHEFORTAIS
BLANCHARD,SAMUEL,C1H421562,142.25,4,U18,C1H,8501 - CK FONTENAY LE COMTE
POULAIN,Nolan,C1H430595,475.25,4,U15,C1H,5603 - CK PONTIVYEN
CHARLET,MATEO,C1H431861,410.67,3,U15,C1H,8003 - PICQUIGNY VIEILLE SOMME
ARNOULD,Clement,C1H432584,148.25,4,U18,C1H,3318 - BOMMES NAUTIQUE CK
ADAMS,Teilo,C1H436197,256.0,4,U15,C1H,6701 - STRASBOURG EAUX VIVES
BREISCH,Yoan,C1H453857,41.75,4,U18,C1H,3311 - CK CLUB LE TEICH
MARBOT,Thomas,C1H457310,253.67,3,U15,C1H,6701 - STRASBOURG EAUX VIVES
MULLER,LEO,C1H460301,267.0,4,U18,C1H,6705 - BRUCHE SPORT PASSION MOLSHEIM
FLOCH,MAE,C1H460843,504.5,4,U18,C1H,5613 - PATRONAGE LAIQUE LORIENT
